Titel,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Personen,Externe Person,Startdatum,Schlussdatum,Externe Organisationen,Organisationseinheit,Externe Organisation,Veranstaltung
"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Bäuerle, Lukas",,2025-07-08,2025-07-08,,Socio-Ecological Transformation Lab (+3 weitere),,"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders"
"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders",,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2025-07-08,2025-07-08,,Socio-Ecological Transformation Lab (+3 weitere),,"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders"
The polysemy of sustainabilities. Insights from the Social Studies of Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-07-08,2025-07-08,,Socio-Ecological Transformation Lab (+3 weitere),,"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders"
The polysemy of sustainabilities. Insights from the Social Studies of Economics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2025-07-08,2025-07-08,,Socio-Ecological Transformation Lab (+3 weitere),,"Discourse Net Conference: Discourse and the imaginaries of past, present and future societies: media and representations of (inter)national (dis)orders"
Gestalte das perfekte Wirtschaftssystem,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-04-23,2025-04-23,,Socio-Ecological Transformation Lab (+1 weitere),,Stiftung für Wirtschaftsbildung
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Eder, Julia Theresa",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Hager, Theresa",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Pühringer, Stephan",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Cserjan, Lukas",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Terhorst, Carlotta",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Verita, Carlotta",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Hornykewycz, Anna",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+2 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Konzernmacht in globalen Warenketten,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-04-09,2025-04-09,,Socio-Ecological Transformation Lab (+1 weitere),,Gastvortrag in der VU Entwicklungssoziologie
Gastvortrag Propädeutikum Doktorat Sozial- und Wirtschaftswissenschaften,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2025-04-29,2025-04-29,,Socio-Ecological Transformation Lab (+1 weitere),,
A Just and Green Transformation in a Changing World,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Weber, Jan David",2024-09-04,2024-09-06,,Socio-Ecological Transformation Lab (+1 weitere),,A Just and Green Transformation in a Changing World
A Just and Green Transformation in a Changing World,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hornykewycz, Anna",,2024-09-04,2024-09-06,,Socio-Ecological Transformation Lab (+1 weitere),,A Just and Green Transformation in a Changing World
A Just and Green Transformation in a Changing World,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Cserjan, Lukas",,2024-09-04,2024-09-06,,Socio-Ecological Transformation Lab (+1 weitere),,A Just and Green Transformation in a Changing World
Forschung zu (pluraler) ökonomischer Bildung: Überblick und Beispiel,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2025-06-17,2025-06-17,,Socio-Ecological Transformation Lab (+1 weitere),,Strategy Platform pluraler Hochschulstandorte in Deutschland
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Hornykewycz, Anna",,2025-06-11,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Eder, Julia Theresa",,2025-06-11,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Cserjan, Lukas",,2025-06-11,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2025-06-11,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Eder, Julia Theresa",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Akademie für den Sozialen und Ökologischen Umbau,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Pühringer, Stephan",,2025-06-10,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Das Recht auf gute und nachhaltige Mobilität,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-06-11,2025-06-11,,Socio-Ecological Transformation Lab (+3 weitere),,Akademie für den Sozialen und Ökologischen Umbau
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Sommer, Marlene",,2025-04-22,2025-04-22,,Socio-Ecological Transformation Lab (+2 weitere),,Schüler*innen Workshop an der JKU
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-04-22,2025-04-22,,Socio-Ecological Transformation Lab (+2 weitere),,Schüler*innen Workshop an der JKU
"Podiumsdiskussion zum Thema ﻿﻿""Perspektiven auf eine klimasoziale Stadt""",Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-04-10,2025-04-10,,Socio-Ecological Transformation Lab (+1 weitere),,"Podiumsdiskussion zum Thema ""Perspektiven auf eine klimasoziale Stadt"""
SASE WAG online event: Empowering Caregivers in Academia: An Online Exchange,,Teilnahme an oder Organisation einer Veranstaltung,Teilnehmer*in,"Hager, Theresa",,2025-04-10,2025-04-10,,Socio-Ecological Transformation Lab (+1 weitere),,SASE WAG online event: Empowering Caregivers in Academia: An Online Exchange
Utopias are dead. Long live Utopias!,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Gengnagel, Vincent",2024-11-14,2024-11-14,Universität Hamburg (+2 weitere),Socio-Ecological Transformation Lab (+1 weitere),,Utopias are dead. Long live Utopias!
Utopias are dead. Long live Utopias!,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,,"Perkowski, Nina",2024-11-14,2024-11-14,Universität Hamburg (+2 weitere),Socio-Ecological Transformation Lab (+1 weitere),,Utopias are dead. Long live Utopias!
Utopias are dead. Long live Utopias!,,Teilnahme an oder Organisation einer Veranstaltung,Organisator*in,"Bäuerle, Lukas",,2024-11-14,2024-11-14,Universität Hamburg (+2 weitere),Socio-Ecological Transformation Lab (+1 weitere),,Utopias are dead. Long live Utopias!
"Aufgeheizte Debatten. Narrative, Technologien und imaginierte Zukünfte der deutschen Wärmewende",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Bäuerle, Lukas",,2024-09-26,2024-09-26,Universität Hamburg,,,7. Jahrestagung der Gesellschaft für sozioökonomische Bildung und Wissenschaft (GSÖBW)
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Mitwirkende*r,"Altreiter, Carina",,2025-03-11,2025-03-11,,Socio-Ecological Transformation Lab (+1 weitere),,STS Hub Conference 2025
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-03-11,2025-03-11,,Socio-Ecological Transformation Lab (+1 weitere),,STS Hub Conference 2025
Political Economy of Knowledge Production in Capitalist Academia: Challenges for Socio-Ecological Transformation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2025-03-11,2025-03-11,,Socio-Ecological Transformation Lab (+1 weitere),,STS Hub Conference 2025
Netzwerke des Überreichtums in Österreich und ihre Implikationen,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2025-03-19,2025-03-19,,School of Social Sciences and Humanities (SSSH) (+2 weitere),,auf Einladung des Netzwerke der Initiativen für Philanthropie in Österreich
Inequalities in green transitions: The neglected role of collective infrastructures and institutions,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Terhorst, Carlotta",,2024-12-17,2024-12-17,,Socio-Ecological Transformation Lab (+1 weitere),,ICAE Research Seminar
Wirtschaftsmodelle ohne Klimakrise,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2024-03-06,2024-03-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Dimensionen (Ö1 Reihe)
Wirtschaftsmodelle ohne Klimakrise,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-03-06,2024-03-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Dimensionen (Ö1 Reihe)
Die Nobelpreise 2024: Wirtschaft,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Pühringer, Stephan",,2024-12-05,2024-12-05,,Socio-Ecological Transformation Lab (+1 weitere),,"Ö1 Sendereihe ""Dimensionen"""
The climate crisis from a pluralist perspective,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-08-06,2024-08-06,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,pluralumn Conference
Pluralism in economics and the split between heterodoxy and orthodoxy,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-09-17,2024-09-17,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,SummerSchool „Wealth Inequality Research in Africa“
Orthodox vs. Heterodox understandings of wealth dynamics,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2024-09-16,2024-09-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,SummerSchool „Wealth Inequality Research in Africa“
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hornykewycz, Anna",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Porak, Laura",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Rath, Johanna",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Jonjic, Mila",2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
"„Hinter jeder erfolgreichen Frau steht ein Mann, der ihr den Rücken stärkt.“",Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Hager, Theresa",,2021-10-16,2021-10-16,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Momentum-Kongress
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),Science-to-science,Vortrag oder Präsentation,Vortragende*r,,"Kronberger, Dominik",2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Kapeller, Jakob",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Aistleitner, Matthias",,2021-09-03,2021-09-03,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,33rd Annual EAEPE Conference
Bürgerbeteiligungsmodelle,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Plaimer, Wolfgang",,2013-08-29,2013-08-29,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,Ortsparteiausschuss der SPÖ Vorchdorf
Vortrag CDOs - A Critical Phenomenon of the Financial System in the Crisis,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Beyer, Karl",,2013-09-10,2013-09-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,The Economy in Crisis and the Crisis in Economics
Vortrag CDOs - A Critical Phenomenon of the Financial System in the Crisis,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Bräutigam, Lars",,2013-09-10,2013-09-10,,Forschungsinstitut für die Gesamtanalyse der Wirtschaft,,The Economy in Crisis and the Crisis in Economics
