Titel,Personen,Jahr,Peer-Review erfolgt,Übergeordneter Typ,Serienvolumen,Seriennummer,Serienname,APA-Format,Organisationseinheit
Konzernmacht in globalen Güterketten,"Kapeller, Jakob (+1 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,104,ICAE Working Paper Series,"Kapeller, J., & Gräbner-Radkowitsch, C. (2020). Konzernmacht in globalen Güterketten. (ICAE Working Paper Series; Nr. 104).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pandemic pushes polarisation: The Corona crisis and macroeconomic divergence in the Eurozone,"Kapeller, Jakob (+2 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,106,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Heimberger, P., & Kapeller, J. (2020). Pandemic pushes polarisation: The Corona crisis and macroeconomic divergence in the Eurozone. (ICAE Working Paper Series; Nr. 106).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Exploring the trade (policy) narratives in economic elite discourse,"Aistleitner, Matthias (+1 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,110,ICAE Working Paper Series,"Aistleitner, M., & Pühringer, S. (2020). Exploring the trade (policy) narratives in economic elite discourse. (ICAE Working Paper Series; Nr. 110).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Enacting Economic Transformation. The Transformative Economic Capabilities (TEC) Approach,"Bäuerle, Lukas",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Bäuerle, L., & Graupe, S. (2024). Enacting Economic Transformation. The Transformative Economic Capabilities (TEC) Approach. World Futures, 81(4), 225-254. https://doi.org/10.1080/02604027.2024.2417040",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"The evolution of debtor-creditor relationships within a monetary union: Trade imbalances, excess reserves and economic policy","Kapeller, Jakob (+4 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,10,Ifso working paper,"Gräbner-Radkowitsch, C., Heimberger, P., Kapeller, J., & Landesmann, M. et al. (2021). The evolution of debtor-creditor relationships within a monetary union: Trade imbalances, excess reserves and economic policy. (Ifso working paper; Nr. 10).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie,"Aistleitner, Matthias (+2 weitere)",2015,begutachtet,Beitrag in Fachzeitschrift,,,,"Aistleitner, M., Fölker, M., & Kapeller, J. (2015). Die Macht der Wissenschaftsstatistik und die Entwicklung der Ökonomie. Journal of Contextual Economics – Schmollers Jahrbuch, 135(2), 111–132.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Conspicuous consumption, inequality and debt: The nature of consumption-driven profit-led regimes","Kapeller, Jakob (+1 weitere)",2012,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,,,"Kapeller, J., & Schütz, B. (2012). Conspicuous consumption, inequality and debt: The nature of consumption-driven profit-led regimes.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Konzernmacht in globalen Güterketten,"Kapeller, Jakob (+1 weitere)",2021,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Kapeller, J., & Gräbner-Radkowitsch, C. (2021). Konzernmacht in globalen Güterketten. In Globale Warenketten und ungleiche Entwicklung. Arbeit, Kapital, Konsum, Natur. Mandelbaum Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Dekarbonisierung des Gebäudesektors als Teil einer sozial-ökologischen Transformation: ein Gestaltungsvorschlag,"Hornykewycz, Anna (+2 weitere)",2024,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,156,ICAE Working Paper Series,"Kapeller, J., Hornykewycz, A., Cserjan, L., & Weber, J. D. (2024). Dekarbonisierung des Gebäudesektors als Teil einer sozial-ökologischen Transformation: ein Gestaltungsvorschlag. (ICAE Working Paper Series; Nr. 156).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien","Ötsch, Walter (+1 weitere)",2014,nicht begutachtet,Buch,,,,"Hirte, K., Thieme, S., & Ötsch, W. (Hrsg.) (2014). Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Vorwort Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien","Ötsch, Walter (+1 weitere)",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Hirte, K., Thieme, S., & Ötsch, W. (2014). Vorwort Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien. In Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft,"Pühringer, Stephan (+2 weitere)",2015,nicht begutachtet,Buch,,,,"Hirte, K., Pühringer, S., & Bräutigam, L. (Hrsg.) (2015). Markt! Welcher Markt? Der interdisziplinäre Diskurs um Märkte und Marktwirtschaft. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Ökonomie! Welche Ökonomie? Stand und Status der Wirtschaftswissenschaften,"Ötsch, Walter (+1 weitere)",2016,nicht begutachtet,Buch,,,,"Hirte, K., & Ötsch, W. (Hrsg.) (2016). Ökonomie! Welche Ökonomie? Stand und Status der Wirtschaftswissenschaften. Metropolis Verlag.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Führt Pluralismus in der ökonomischen Theorie zu mehr Wahrheit?,"Kapeller, Jakob (+2 weitere)",2014,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Grimm, C., Kapeller, J., & Springholz, F. (2014). Führt Pluralismus in der ökonomischen Theorie zu mehr Wahrheit? In Wissen! Welches Wissen? Zu Wahrheit, Theorien und Glauben sowie ökonomischen Theorien Metropolis Verlag. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Zerrissen, überlastet, prekär – Mittelbau zwischen Doktoratsstudium und universitärer Lehre","Hager, Theresa (+2 weitere)",2024,nicht begutachtet,Andere Beiträge,,,,"Deindl, R., Hager, T., & Schäfer, K. (2024, Okt). Zerrissen, überlastet, prekär – Mittelbau zwischen Doktoratsstudium und universitärer Lehre. https://www.oeh.ac.at/wp-content/uploads/2024/10/Vereinbarkeit_Katalog_fertig.pdf",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Systemism,"Kapeller, Jakob (+1 weitere)",2024,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,155,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Kapeller, J. (2024). Systemism. (ICAE Working Paper Series; Nr. 155).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Corporate power and global value chains: current approaches for conceptualizing the power of multinationals,"Hornykewycz, Anna (+2 weitere)",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., Gräbner-Radkowitsch, C., & Hornykewycz, A. (2024). Corporate power and global value chains: current approaches for conceptualizing the power of multinationals. Review of Evolutionary Political Economy, 5(2), 371-397. https://doi.org/10.1007/s43253-024-00121-5",Socio-Ecological Transformation Lab
Media property: Mapping the field and future trajectories in the digital age,"Theine, Hendrik",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Theine, H., & Sevignani, S. (2024). Media property: Mapping the field and future trajectories in the digital age. European Journal of Communication, 39(5), 412–425.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Sozialer Fortschritt in offenen Gesellschaften des 21. Jahrhunderts: Unrealistische Utopie oder notwendige Möglichkeit?,"Hubmann, Georg (+1 weitere)",2024,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Gampe, A., Hubmann, G., & Kapeller, J. (2024). Sozialer Fortschritt in offenen Gesellschaften des 21. Jahrhunderts: Unrealistische Utopie oder notwendige Möglichkeit? In Gampe, Anja; Söylemez, Seçkin (Hrsg.), Weltoffenheit, Toleranz und Gemeinsinn. Chancen und Herausforderungen in der Gegenwartsgesellschaft (S. 13-38). transcript. ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The Charm of Emission Trading,"Porak, Laura",2025,begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L., & Reinke, R. (2025). The Charm of Emission Trading. Journal of Economic Issues.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Nach der Wahl: Ist mehr Wohl­stand trotz dro­hen­der Aus­teri­tät möglich?,"Porak, Laura",2024,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L., Premrov, T., & Witzani-Haim, D. (2024). Nach der Wahl: Ist mehr Wohl­stand trotz dro­hen­der Aus­teri­tät möglich? Der Kurswechsel.",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Vergesellschaftung zukunftsweisend gestalten,"Porak, Laura",2024,begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Solveign, D., Müller, H., Porak, L., & Winkin, M. R. (2024). Vergesellschaftung zukunftsweisend gestalten. In Vergesellschaftung und die sozial- ökologische Frage Wie wir unsere Gesellschaft gerechter, zukunftsfähiger und resilienter machen können ",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Introduction to the special issue: Media transformation and the challenge of property,"Theine, Hendrik",2024,Nicht festgelegt,Beitrag in Fachzeitschrift,,,,"Theine, H., & Sevignani, S. (2024). Introduction to the special issue: Media transformation and the challenge of property. European Journal of Communication, 39(5), 407–411. https://doi.org/10.1177/02673231241274347",Socio-Ecological Transformation Lab
Proxy failures in practice,"Rath, Johanna (+3 weitere)",2024,begutachtet,Beitrag in Fachzeitschrift,,,,"Kapeller, J., Pühringer, S., Rath, J., & Aistleitner, M. (2024). Proxy failures in practice: Examples from the sociology of science. Behavioral and Brain Sciences, 47, Artikel e76. https://doi.org/10.1017/S0140525X23002856",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The contribution of qualitative methods to economic research in an era of polycrisis,"Porak, Laura",2024,nicht begutachtet,Beitrag in Fachzeitschrift,,,,"Porak, L., & Reinke, R. (2024). The contribution of qualitative methods to economic research in an era of polycrisis. Review of Evolutionary Political Economy, 5(1), 31-49. https://doi.org/10.1007/s43253-024-00116-2",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Pluralismus in der Volkswirtschaftslehre und seine Relevanz für die Debatte um Armut,"Porak, Laura (+3 weitere)",2024,nicht begutachtet,Beitrag in Buch/Bericht/Konferenzband,,,,"Porak, L., Gräbner-Radkowitsch, C., Kapeller, J., & Rath, J. (2024). Pluralismus in der Volkswirtschaftslehre und seine Relevanz für die Debatte um Armut. In Beiträge für eine zukunftsfähige Wirtschafts- und Finanzbildung (S. 75-86)",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Fixing long-term price paths for fossil energy – the optimal incentive for limiting global warming,,2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,112,ICAE Working Paper Series,"Schulmeister, S. (2020). Fixing long-term price paths for fossil energy – the optimal incentive for limiting global warming. (ICAE Working Paper Series; Nr. 112).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The emergence of core-periphery structures in the European Union: a complexity perspective,"Hafele, Jakob (+1 weitere)",2020,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,113,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Hafele, J. (2020). The emergence of core-periphery structures in the European Union: a complexity perspective. (ICAE Working Paper Series; Nr. 113).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Decreasing Dependency through Self-Reliance: Strengthening Local Economies through Community Wealth Building,"Schulz, Julia",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,124,ICAE Working Paper Series,"Eder, J. (2021). Decreasing Dependency through Self-Reliance: Strengthening Local Economies through Community Wealth Building. (ICAE Working Paper Series; Nr. 124).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Competition universalism: Its historical origins and timely alternatives,"Pühringer, Stephan (+1 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,125,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., & Pühringer, S. (2021). Competition universalism: Its historical origins and timely alternatives. (ICAE Working Paper Series; Nr. 125).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Governing the Ungovernable - Recontextualizations of ‘Competition’ in European Policy Discourse,"Porak, Laura",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,126,ICAE Working Paper Series,"Porak, L. (2021). Governing the Ungovernable - Recontextualizations of ‘Competition’ in European Policy Discourse. (ICAE Working Paper Series; Nr. 126).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
A European Wealth Tax for a Fair and Green Recovery,"Kapeller, Jakob",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,129,ICAE Working Paper Series,"Kapeller, J., Leitch, S., & Wildauer, R. (2021). A European Wealth Tax for a Fair and Green Recovery. (ICAE Working Paper Series; Nr. 129).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Standortwettbewerb und Deindustrialisierung: Das Beispiel MAN als Lehrbuchfall,"Kapeller, Jakob (+1 weitere)",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,131,ICAE Working Paper Series,"Kapeller, J., & Gräbner-Radkowitsch, C. (2021). Standortwettbewerb und Deindustrialisierung: Das Beispiel MAN als Lehrbuchfall. (ICAE Working Paper Series; Nr. 131).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Zur Pluralität der ökonomischen Politikberatung in Deutschland,"Pühringer, Stephan",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,132,ICAE Working Paper Series,"Pühringer, S. (2021). Zur Pluralität der ökonomischen Politikberatung in Deutschland. (ICAE Working Paper Series; Nr. 132).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
Is a 10 trillion euro European climate investment initiative fiscally sustainable?,"Kapeller, Jakob",2021,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,133,ICAE Working Paper Series,"Kapeller, J., Leitch, S., & Wildauer, R. (2021). Is a 10 trillion euro European climate investment initiative fiscally sustainable? (ICAE Working Paper Series; Nr. 133).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
"Elements of an evolutionary approach to comparative economic studies: complexity, systemism, and path dependent development","Gräbner-Radkowitsch, Claudius",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,134,ICAE Working Paper Series,"Gräbner-Radkowitsch, C. (2022). Elements of an evolutionary approach to comparative economic studies: complexity, systemism, and path dependent development. (ICAE Working Paper Series; Nr. 134).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
The emergence of debt and secular stagnation in an unequal society: a stockflow consistent agent-based approach,"Hornykewycz, Anna (+2 weitere)",2022,Nicht festgelegt,"Preprints, Working Paper und Forschungsberichte",,135,ICAE Working Paper Series,"Gräbner-Radkowitsch, C., Hornykewycz, A., & Schütz, B. (2022). The emergence of debt and secular stagnation in an unequal society: a stockflow consistent agent-based approach. (ICAE Working Paper Series; Nr. 135).",Forschungsinstitut für die Gesamtanalyse der Wirtschaft
