Titel,Typ,Kategorie,Übergeordneter Typ,Rollen der Mitwirkenden,Listenindex,Personen,Externe Person,Startdatum,Schlussdatum
Paradigmen und Politik. Bestandsaufnahme der deutschen Ökonomik im Vergleich zu den USA,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2019-02-22,2019-02-22
Relationalität in der Soziologie und „Poppers Fluch“,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-09-28,2019-09-28
Funktionale Konstrukte von Bevölkerung im Kontext der „Agrar- versus Industriestaatsdebatte,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-10-28,2019-10-28
"Ökonomisches Denken selbst bewertet – Muster, Mechanismen und Dynamiken in der ökonomischen Dogmenhistorie",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-05-16,2019-05-16
Netzwerkanalysen zur Entwicklung der professoralen Agrarpolitiker und Agrarökonomen Deutschlands 1933 bis 2000,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2019-03-29,2019-03-29
Beyond Foundations: Systemism in Economic Thinking,Vortrag nach Bewerbung und Auswahl,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-01-03,2015-01-03
Pluralism in Economics: Perspectives from Philosophy of Science,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-02-05,2015-02-05
Krise der Wirtschaftswissenschaften - Chancen für eine plurale Ökonomik?,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-02-23,2015-02-23
The crisis as a game changer? Der Einfluss der Krise auf die Entwicklung ökonomischer Forschung [The crisis and the development of economic research],Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2015-04-22,2015-04-22
Harvesting the Benefits of Different Perspectives: Theoretical and Practical Reflections on Pluralistic Education in Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Strunk, Birte (+1 weitere)",,2019-02-22,2019-02-22
Kommentar zu Komplexität und Evolution in der Ökonomik,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-07-05,2019-07-05
Unrealistic models and how to identify them: on accounts of model realisticness,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-09-14,2019-09-14
"Pluralism, complexity and the effective triangulation of methods",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-09-02,2019-09-02
"Country capabilities, product complexity, and finance in the EU: An AB-SFC multi country model for policy analysis",Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-09-19,2019-09-19
Structural change in times of increasing openness: Assessing path dependency in European Economic integration,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2019-09-23,2019-09-23
Getting the best of both worlds: potentials for triangulating agent-based and equilibrium-based analysis,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Gräbner-Radkowitsch, Claudius",,2019-10-30,2019-10-30
Widersprüche im technologischen Fortschritt: am Beispiel der Blockchain Technologie,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2019-10-12,2019-10-12
Divided We Stand? Professional Consensus and Political Conflict in Academic Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-09-13,2019-09-13
Divided We Stand? Professional Consensus and Political Conflict in Academic Economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-06-29,2019-06-29
Gestalte das perfekte Wirtschaftssystem,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2024-11-29,2024-11-29
Junge Forschung #9 mit Anna Hornykewycz,Präsentation in Radio/TV,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2024-03-01,2024-03-01
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2024-07-24,2024-07-24
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2024-07-23,2024-07-23
JKU Science Holidays: Gestalte das perfekte Wirtschaftssystem,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2024-07-16,2024-07-16
Wirtschaftspolitische Ausrichtungen in österreichischen Parteiprogrammen,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2015-12-05,2015-12-05
Structural change in time of increasing openness: assessing path dependency in European economic integration,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2018-09-24,2018-09-24
Economic Polarization in Europe,Vortrag nach Bewerbung und Auswahl,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-10-12,2019-10-12
Models of Capability Accumulation,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2019-09-13,2019-09-13
Wissenschaftstheorie und Ökonomie,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2016-08-13,2016-08-13
Convergence and Polarization Dynamics in Europa and globally,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-09-14,2019-09-14
Economics & Philosophy,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-09-12,2019-09-12
Der Feind im Inneren: Das alte Dilemma des Liberalismus,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-05-31,2019-05-31
Development and globalization: a pluralist perspective,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-04-16,2019-04-16
Philosophy and economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-03-31,2019-03-31
The future of pluralism in economics,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-03-31,2019-03-31
Pluralist and interdisciplinary research in academic economics,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2019-02-21,2019-02-21
"The evolution of debtor-creditor relationships within a monetary union:  Trade imbalances, excess reserves and economic policy",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+3 weitere)",,2021-09-04,2021-09-04
The political economy of academic publishing: On the commodification of a public good,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna (+1 weitere)",,2021-07-03,2021-07-03
German neoliberalism in crisis?,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2021-03-18,2021-03-18
Neoliberalismus und „Rechtspopulismus“ Analogien und Widersprüche,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan",,2019-12-19,2019-12-19
The Authors of Economics Journals Revisited: Evidence from a Large-Scale Replication of Hodgson & Rothman (1999),Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Aistleitner, Matthias (+1 weitere)","Kronberger, Dominik",2021-07-02,2021-07-02
EU Policy-making and the construction of economic indicators: the case of Competitiveness in the European Semester,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Rath, Johanna",,2022-09-08,2022-09-08
The Translation of Social Relations into Computer-Based Models: New Possibilities and Familiar Limitations,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2022-11-14,2022-11-14
Modelling the Demand for Heterogeneous Consumption Products. A Macroeconomic Stock-Flow Consistent Agent-Based Approach,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna",,2022-09-08,2022-09-08
Arbeitsbeziehungen im Wandel. Der Effekt von Digitalisierung auf die Ausgestaltung von Arbeitsverträgen und Kooperation,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hornykewycz, Anna (+1 weitere)",,2022-11-25,2022-11-25
Verzerrte Expertise. Zur (Frei)handelsdebatte in den Wirtschaftswissenschaften,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-11-12,2022-11-12
The Toll it Takes: On Technological Competitiveness and Joining the European Union,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-07-11,2022-07-11
The Political Economy of Measuring Competitiveness,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-09-28,2022-09-28
Herausforderungen für eine Wirtschaft im 21. Jahrhundert,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-06-29,2022-06-29
Neoliberale Think Tanks und ihre Verbindungen zu Reichen-Netzwerken,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2022-10-17,2022-10-17
Curse or Blessing: On Technological Competitiveness and Joining the European Union,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-09-09,2022-09-09
Competing for sustainability? An institutionalist analysis of the new development model of the European Union,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+2 weitere)",,2023-01-05,2023-01-05
Bane or Boon: On Technological Competitiveness and Joining the European Union,Anderer Vortrag oder Präsentation,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa",,2022-12-20,2022-12-20
Bane or Boon: On Technological Competitiveness and Joining the European Union,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hager, Theresa (+1 weitere)",,2022-10-09,2022-10-09
From free to civilised markets. First steps towards Eutopia,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)","Tamesberger, Dennis",2014-09-12,2014-09-12
Die Verteilung von Einkommen und Vermögen in Europa und International,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-09-10,2014-09-10
Inequality before and after the Crisis,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-08-27,2014-08-27
"Wie können alternative ökonomische Forschungsansätze an Universitäten gefördert werden?""",Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob",,2014-08-10,2014-08-10
Geld - Eine post-keynesianische Perspektive,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Schütz, Bernhard",,2018-04-18,2018-04-18
Kritische Betrachtung der Entwicklung der EU-Agrarpolitik,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2014-11-12,2014-11-12
Das Performativity-Konzept und seine soziologietheoretische Fundierung,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2011-10-05,2011-10-05
Macht- und Elitetheorien – alte und neue Ansätze,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2010-06-05,2010-06-05
Preistheorien und Preisgestaltung – eine systematisierende Hinterfragung (Beispiel Milchmarkt und Milchmarktregelungen).,Eingeladener Vortrag,unbekannt,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Hirte, Katrin",,2009-03-03,2009-03-03
Paradigmatische Homogenität? Aktueller Stand und Zukunftsperspektiven der Ökonomik in Deutschland und den USA,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2017-10-20,2017-10-20
Pluralismus in der Ökonomik? Zur Frage von Machtverhältnissen und Homogenität in der deutschsprachigen Ökonomik.,Eingeladener Vortrag,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2016-11-07,2016-11-07
Profil der deutschsprachigen Volkswirtschaftslehre. Paradigmatische Ausrichtung und politische Wirkmächtigkeit deutschsprachiger Ökonom_innen,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2016-11-05,2016-11-05
"Performativität, Machtverhältnisse und Ökonomik. Zur Frage der Homogenität in der deutschsprachigen Ökonomik",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Grimm, Christian",,2016-10-14,2016-10-14
Warum gibt es die Staatsschuldenkrise?,Anderer Vortrag oder Präsentation,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Pühringer, Stephan (+1 weitere)",,2019-02-11,2019-02-11
From Free to Civilized Markets: First Steps towards Eutopia,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+1 weitere)",,2014-03-06,2014-03-06
'Output gap nonsense': Reforming the EU's fiscal rules,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2019-10-10,2019-10-10
"Is the Eurozone disintegrating? Macroeconomic divergence, structural polarization, trade and fragility",Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Kapeller, Jakob (+3 weitere)",,2019-10-26,2019-10-26
Does economic globalization affect income inequality? A meta-analysis,Vortrag nach Bewerbung und Auswahl,Science-to-science,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2019-12-05,2019-12-05
Fiscal policies in international perspective,Eingeladener Vortrag,Science-to-public,Vortrag oder Präsentation,Vortragende*r,"Erweitern, um Werte anzuzeigen","Heimberger, Philipp",,2019-06-04,2019-06-04
